# RMUC test waypoints — main navigation route (auto-snapped to corridor centers)
# Format: x,y,z per line
0.006570,0.009700,0.000004
1.278440,0.054540,0.000000
1.130550,-2.954050,0.000000
3.412100,-3.000460,0.000000
4.136350,-4.349550,0.000000
2.550680,-4.521580,0.000000
0.265490,-4.691090,0.000000
0.499650,-6.428726,0.000000
2.997660,-6.167570,0.000000
5.648200,-6.441167,0.000000
8.264800,-3.847250,0.000000
7.181300,-2.304280,0.000000
7.053400,-0.326230,0.000000
7.969400,1.110290,0.000000
9.351700,2.214150,0.000000
10.850600,2.602350,0.000000

